----------------------------------
CPU utilization: 100%
Cores used: 16
Cores available: 0

Running Processes:
process90      (11/04/2024 08:43:40 PM) Core: N/A   30 / 5000   
process91      (11/04/2024 08:43:40 PM) Core: N/A   30 / 5000   
process92      (11/04/2024 08:43:40 PM) Core: N/A   30 / 5000   
process93      (11/04/2024 08:43:40 PM) Core: N/A   30 / 5000   
process94      (11/04/2024 08:43:41 PM) Core: N/A   30 / 5000   
process95      (11/04/2024 08:43:41 PM) Core: N/A   30 / 5000   
process96      (11/04/2024 08:43:41 PM) Core: N/A   30 / 5000   
process97      (11/04/2024 08:43:41 PM) Core: N/A   30 / 5000   
process98      (11/04/2024 08:43:41 PM) Core: N/A   30 / 5000   
process99      (11/04/2024 08:43:41 PM) Core: N/A   30 / 5000   
process100     (11/04/2024 08:43:41 PM) Core: 3     29 / 5000   
process101     (11/04/2024 08:43:41 PM) Core: 15    25 / 5000   
process102     (11/04/2024 08:43:41 PM) Core: N/A   25 / 5000   
process103     (11/04/2024 08:43:42 PM) Core: N/A   25 / 5000   
process104     (11/04/2024 08:43:42 PM) Core: N/A   25 / 5000   
process105     (11/04/2024 08:43:42 PM) Core: N/A   25 / 5000   
process106     (11/04/2024 08:43:42 PM) Core: N/A   25 / 5000   
process107     (11/04/2024 08:43:42 PM) Core: N/A   25 / 5000   
process108     (11/04/2024 08:43:42 PM) Core: N/A   25 / 5000   
process109     (11/04/2024 08:43:42 PM) Core: N/A   25 / 5000   
process110     (11/04/2024 08:43:42 PM) Core: N/A   25 / 5000   
process111     (11/04/2024 08:43:42 PM) Core: N/A   25 / 5000   
process112     (11/04/2024 08:43:43 PM) Core: N/A   25 / 5000   
process113     (11/04/2024 08:43:43 PM) Core: N/A   25 / 5000   
process114     (11/04/2024 08:43:43 PM) Core: N/A   25 / 5000   
process115     (11/04/2024 08:43:43 PM) Core: N/A   25 / 5000   
process116     (11/04/2024 08:43:43 PM) Core: N/A   25 / 5000   
process117     (11/04/2024 08:43:43 PM) Core: N/A   25 / 5000   
process118     (11/04/2024 08:43:43 PM) Core: N/A   25 / 5000   
process119     (11/04/2024 08:43:43 PM) Core: N/A   25 / 5000   
process120     (11/04/2024 08:43:43 PM) Core: N/A   25 / 5000   
process121     (11/04/2024 08:43:44 PM) Core: N/A   25 / 5000   
process122     (11/04/2024 08:43:44 PM) Core: N/A   25 / 5000   
process123     (11/04/2024 08:43:44 PM) Core: N/A   25 / 5000   
process124     (11/04/2024 08:43:44 PM) Core: N/A   25 / 5000   
process125     (11/04/2024 08:43:44 PM) Core: N/A   25 / 5000   
process126     (11/04/2024 08:43:44 PM) Core: N/A   25 / 5000   
process127     (11/04/2024 08:43:44 PM) Core: 11    24 / 5000   
process128     (11/04/2024 08:43:44 PM) Core: 14    21 / 5000   
process129     (11/04/2024 08:43:44 PM) Core: N/A   20 / 5000   
process130     (11/04/2024 08:43:44 PM) Core: N/A   20 / 5000   
process131     (11/04/2024 08:43:45 PM) Core: N/A   20 / 5000   
process132     (11/04/2024 08:43:45 PM) Core: N/A   20 / 5000   
process133     (11/04/2024 08:43:45 PM) Core: N/A   20 / 5000   
process134     (11/04/2024 08:43:45 PM) Core: N/A   20 / 5000   
process135     (11/04/2024 08:43:45 PM) Core: N/A   20 / 5000   
process136     (11/04/2024 08:43:45 PM) Core: N/A   20 / 5000   
process137     (11/04/2024 08:43:45 PM) Core: N/A   20 / 5000   
process138     (11/04/2024 08:43:45 PM) Core: N/A   20 / 5000   
process139     (11/04/2024 08:43:45 PM) Core: N/A   20 / 5000   
process140     (11/04/2024 08:43:46 PM) Core: N/A   20 / 5000   
process141     (11/04/2024 08:43:46 PM) Core: N/A   20 / 5000   
process142     (11/04/2024 08:43:46 PM) Core: N/A   20 / 5000   
process143     (11/04/2024 08:43:46 PM) Core: N/A   20 / 5000   
process144     (11/04/2024 08:43:46 PM) Core: N/A   20 / 5000   
process145     (11/04/2024 08:43:46 PM) Core: N/A   20 / 5000   
process146     (11/04/2024 08:43:46 PM) Core: N/A   20 / 5000   
process147     (11/04/2024 08:43:46 PM) Core: N/A   20 / 5000   
process148     (11/04/2024 08:43:46 PM) Core: N/A   20 / 5000   
process149     (11/04/2024 08:43:47 PM) Core: N/A   20 / 5000   
process150     (11/04/2024 08:43:47 PM) Core: N/A   20 / 5000   
process151     (11/04/2024 08:43:47 PM) Core: N/A   20 / 5000   
process152     (11/04/2024 08:43:47 PM) Core: N/A   20 / 5000   
process153     (11/04/2024 08:43:47 PM) Core: N/A   20 / 5000   
process154     (11/04/2024 08:43:47 PM) Core: N/A   20 / 5000   
process155     (11/04/2024 08:43:47 PM) Core: N/A   20 / 5000   
process156     (11/04/2024 08:43:47 PM) Core: N/A   20 / 5000   
process157     (11/04/2024 08:43:47 PM) Core: N/A   20 / 5000   
process158     (11/04/2024 08:43:48 PM) Core: N/A   20 / 5000   
process159     (11/04/2024 08:43:48 PM) Core: N/A   20 / 5000   
process160     (11/04/2024 08:43:48 PM) Core: N/A   20 / 5000   
process161     (11/04/2024 08:43:48 PM) Core: N/A   20 / 5000   
process162     (11/04/2024 08:43:48 PM) Core: 4     18 / 5000   
process163     (11/04/2024 08:43:48 PM) Core: 10    16 / 5000   
process164     (11/04/2024 08:43:48 PM) Core: N/A   15 / 5000   
process165     (11/04/2024 08:43:48 PM) Core: N/A   15 / 5000   
process166     (11/04/2024 08:43:48 PM) Core: N/A   15 / 5000   
process167     (11/04/2024 08:43:49 PM) Core: N/A   15 / 5000   
process168     (11/04/2024 08:43:49 PM) Core: N/A   15 / 5000   
process169     (11/04/2024 08:43:49 PM) Core: N/A   15 / 5000   
process170     (11/04/2024 08:43:49 PM) Core: N/A   15 / 5000   
process171     (11/04/2024 08:43:49 PM) Core: N/A   15 / 5000   
process172     (11/04/2024 08:43:49 PM) Core: N/A   15 / 5000   
process173     (11/04/2024 08:43:49 PM) Core: N/A   15 / 5000   
process174     (11/04/2024 08:43:49 PM) Core: N/A   15 / 5000   
process175     (11/04/2024 08:43:49 PM) Core: N/A   15 / 5000   
process176     (11/04/2024 08:43:49 PM) Core: N/A   15 / 5000   
process177     (11/04/2024 08:43:50 PM) Core: N/A   15 / 5000   
process178     (11/04/2024 08:43:50 PM) Core: N/A   15 / 5000   
process179     (11/04/2024 08:43:50 PM) Core: N/A   15 / 5000   
process180     (11/04/2024 08:43:50 PM) Core: N/A   15 / 5000   
process181     (11/04/2024 08:43:50 PM) Core: N/A   15 / 5000   
process182     (11/04/2024 08:43:50 PM) Core: N/A   15 / 5000   
process183     (11/04/2024 08:43:50 PM) Core: N/A   15 / 5000   
process184     (11/04/2024 08:43:50 PM) Core: N/A   15 / 5000   
process185     (11/04/2024 08:43:50 PM) Core: N/A   15 / 5000   
process186     (11/04/2024 08:43:51 PM) Core: N/A   15 / 5000   
process187     (11/04/2024 08:43:51 PM) Core: N/A   15 / 5000   
process188     (11/04/2024 08:43:51 PM) Core: N/A   15 / 5000   
process189     (11/04/2024 08:43:51 PM) Core: N/A   15 / 5000   
process190     (11/04/2024 08:43:51 PM) Core: N/A   15 / 5000   
process191     (11/04/2024 08:43:51 PM) Core: N/A   15 / 5000   
process192     (11/04/2024 08:43:51 PM) Core: N/A   15 / 5000   
process193     (11/04/2024 08:43:51 PM) Core: N/A   15 / 5000   
process194     (11/04/2024 08:43:51 PM) Core: N/A   15 / 5000   
process195     (11/04/2024 08:43:52 PM) Core: N/A   15 / 5000   
process196     (11/04/2024 08:43:52 PM) Core: N/A   15 / 5000   
process197     (11/04/2024 08:43:52 PM) Core: N/A   15 / 5000   
process198     (11/04/2024 08:43:52 PM) Core: N/A   15 / 5000   
process199     (11/04/2024 08:43:52 PM) Core: N/A   15 / 5000   
process200     (11/04/2024 08:43:52 PM) Core: N/A   15 / 5000   
process201     (11/04/2024 08:43:52 PM) Core: N/A   15 / 5000   
process202     (11/04/2024 08:43:52 PM) Core: N/A   15 / 5000   
process203     (11/04/2024 08:43:52 PM) Core: N/A   15 / 5000   
process204     (11/04/2024 08:43:53 PM) Core: N/A   15 / 5000   
process205     (11/04/2024 08:43:53 PM) Core: N/A   15 / 5000   
process206     (11/04/2024 08:43:53 PM) Core: 7     14 / 5000   
process207     (11/04/2024 08:43:53 PM) Core: 5     12 / 5000   
process208     (11/04/2024 08:43:53 PM) Core: 2     10 / 5000   
process209     (11/04/2024 08:43:53 PM) Core: N/A   10 / 5000   
process210     (11/04/2024 08:43:53 PM) Core: N/A   10 / 5000   
process211     (11/04/2024 08:43:53 PM) Core: N/A   10 / 5000   
process212     (11/04/2024 08:43:53 PM) Core: N/A   10 / 5000   
process213     (11/04/2024 08:43:53 PM) Core: N/A   10 / 5000   
process214     (11/04/2024 08:43:54 PM) Core: N/A   10 / 5000   
process215     (11/04/2024 08:43:54 PM) Core: N/A   10 / 5000   
process216     (11/04/2024 08:43:54 PM) Core: N/A   10 / 5000   
process217     (11/04/2024 08:43:54 PM) Core: N/A   10 / 5000   
process218     (11/04/2024 08:43:54 PM) Core: N/A   10 / 5000   
process219     (11/04/2024 08:43:54 PM) Core: N/A   10 / 5000   
process220     (11/04/2024 08:43:54 PM) Core: N/A   10 / 5000   
process221     (11/04/2024 08:43:54 PM) Core: N/A   10 / 5000   
process222     (11/04/2024 08:43:54 PM) Core: N/A   10 / 5000   
process223     (11/04/2024 08:43:55 PM) Core: N/A   10 / 5000   
process224     (11/04/2024 08:43:55 PM) Core: N/A   10 / 5000   
process225     (11/04/2024 08:43:55 PM) Core: N/A   10 / 5000   
process226     (11/04/2024 08:43:55 PM) Core: N/A   10 / 5000   
process227     (11/04/2024 08:43:55 PM) Core: N/A   10 / 5000   
process228     (11/04/2024 08:43:55 PM) Core: N/A   10 / 5000   
process229     (11/04/2024 08:43:55 PM) Core: N/A   10 / 5000   
process230     (11/04/2024 08:43:55 PM) Core: N/A   10 / 5000   
process231     (11/04/2024 08:43:55 PM) Core: N/A   10 / 5000   
process232     (11/04/2024 08:43:56 PM) Core: N/A   10 / 5000   
process233     (11/04/2024 08:43:56 PM) Core: N/A   10 / 5000   
process234     (11/04/2024 08:43:56 PM) Core: N/A   10 / 5000   
process235     (11/04/2024 08:43:56 PM) Core: N/A   10 / 5000   
process236     (11/04/2024 08:43:56 PM) Core: N/A   10 / 5000   
process237     (11/04/2024 08:43:56 PM) Core: N/A   10 / 5000   
process238     (11/04/2024 08:43:56 PM) Core: N/A   10 / 5000   
process239     (11/04/2024 08:43:56 PM) Core: N/A   10 / 5000   
process240     (11/04/2024 08:43:56 PM) Core: N/A   10 / 5000   
process241     (11/04/2024 08:43:57 PM) Core: N/A   10 / 5000   
process242     (11/04/2024 08:43:57 PM) Core: N/A   10 / 5000   
process243     (11/04/2024 08:43:57 PM) Core: N/A   10 / 5000   
process244     (11/04/2024 08:43:57 PM) Core: N/A   10 / 5000   
process245     (11/04/2024 08:43:57 PM) Core: N/A   10 / 5000   
process246     (11/04/2024 08:43:57 PM) Core: N/A   10 / 5000   
process247     (11/04/2024 08:43:57 PM) Core: N/A   10 / 5000   
process248     (11/04/2024 08:43:57 PM) Core: N/A   10 / 5000   
process249     (11/04/2024 08:43:57 PM) Core: N/A   10 / 5000   
process250     (11/04/2024 08:43:58 PM) Core: N/A   10 / 5000   
process251     (11/04/2024 08:43:58 PM) Core: N/A   10 / 5000   
process252     (11/04/2024 08:43:58 PM) Core: N/A   10 / 5000   
process253     (11/04/2024 08:43:58 PM) Core: N/A   10 / 5000   
process254     (11/04/2024 08:43:58 PM) Core: N/A   10 / 5000   
process255     (11/04/2024 08:43:58 PM) Core: N/A   10 / 5000   
process256     (11/04/2024 08:43:58 PM) Core: N/A   10 / 5000   
process257     (11/04/2024 08:43:58 PM) Core: N/A   10 / 5000   
process258     (11/04/2024 08:43:58 PM) Core: N/A   10 / 5000   
process259     (11/04/2024 08:43:58 PM) Core: N/A   10 / 5000   
process260     (11/04/2024 08:43:59 PM) Core: N/A   10 / 5000   
process261     (11/04/2024 08:43:59 PM) Core: N/A   10 / 5000   
